id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link
538;SWGN;medium_airport;Araguaína Airport;-7.22787;-48.240501;771;SA;BR;BR-TO;Araguaína;yes;SWGN;AUX;TO0002;;https://en.wikipedia.org/wiki/Aragua%C3%ADna_Airport
575;SWRD;medium_airport;Maestro Marinho Franco Airport;-16.584292;-54.724803;1467;SA;BR;BR-MT;Rondonópolis;yes;SBRD;ROO;MT0004;http://www.rondonopolis.mt.gov.br/orgaos-municipais/aeroporto-municipal-maestro-marinho-franco/;https://en.wikipedia.org/wiki/Rondon%C3%B3polis_Airport
6356;SYCJ;medium_airport;Cheddi Jagan International Airport;6.49855;-58.254101;95;SA;GY;GY-DE;Georgetown;yes;SYCJ;GEO;SYGT;http://www.cjairport-gy.com/;https://en.wikipedia.org/wiki/Cheddi_Jagan_International_Airport
41513;SYGO;medium_airport;Eugene F. Correira International Airport;6.80628;-58.1059;10;SA;GY;GY-DE;Ogle;yes;SYEC;OGL;;;https://en.wikipedia.org/wiki/Ogle_Airport
6358;SYLT;medium_airport;Lethem Airport;3.37276;-59.789398;351;SA;GY;GY-UT;Lethem;yes;SYLT;LTM;;;https://en.wikipedia.org/wiki/Lethem_Airport
6359;TAPA;medium_airport;V C Bird International Airport;17.1367;-61.792702;62;NA;AG;AG-03;Osbourn;yes;TAPA;ANU;;;https://en.wikipedia.org/wiki/VC_Bird_International_Airport
35328;TAPH;medium_airport;Codrington Airport;17.635799;-61.828602;15;NA;AG;AG-10;Codrington;yes;TAPH;BBQ;;;https://en.wikipedia.org/wiki/Codrington_Airport
6360;TBPB;medium_airport;Grantley Adams International Airport;13.0746;-59.4925;169;NA;BB;BB-01;Bridgetown;yes;TBPB;BGI;;http://www.gaia.bb/content/about-gaia-inc;https://en.wikipedia.org/wiki/Grantley_Adams_International_Airport
6361;TDCF;medium_airport;Canefield Airport;15.336693;-61.392108;13;NA;DM;DM-10;Canefield;yes;TDCF;DCF;;;https://en.wikipedia.org/wiki/Canefield_Airport
6362;TDPD;medium_airport;Douglas-Charles Airport;15.547;-61.299999;73;NA;DM;DM-02;Marigot;yes;TDPD;DOM;;;https://en.wikipedia.org/wiki/Melville_Hall_Airport
6363;TFFF;large_airport;Martinique Aimé Césaire International Airport;14.591;-61.003201;16;NA;MQ;MQ-U-A;Fort-de-France;yes;TFFF;FDF;;http://www.martinique.aeroport.fr/;https://en.wikipedia.org/wiki/Martinique_Aim%C3%A9_C%C3%A9saire_International_Airport
6364;TFFG;medium_airport;Grand Case-Espérance Airport;18.099899;-63.047199;7;NA;MF;MF-U-A;Grand Case;yes;TFFG;SFG;;;https://en.wikipedia.org/wiki/Grand_Case-Esp%C3%A9rance_Airport
32249;TFFJ;medium_airport;Saint Barthélemy - Rémy de Haenen Airport;17.9044;-62.843601;49;NA;BL;BL-U-A;Gustavia / Saint-Jean;yes;TFFJ;SBH;;;https://en.wikipedia.org/wiki/Gustaf_III_Airport
6365;TFFM;medium_airport;Marie-Galante Airport;15.868925;-61.270087;16;NA;GP;GP-U-A;Grand Bourg;yes;TFFM;GBJ;;;https://en.wikipedia.org/wiki/Marie-Galante_Airport
6366;TFFR;large_airport;Pointe-à-Pitre Le Raizet International  Airport;16.265301;-61.531799;36;NA;GP;GP-U-A;Pointe-à-Pitre;yes;TFFR;PTP;;http://www.guadeloupe.aeroport.fr/;https://en.wikipedia.org/wiki/Pointe-%C3%A0-Pitre_International_Airport
6367;TGPY;medium_airport;Maurice Bishop International Airport;12.0042;-61.786201;41;NA;GD;GD-GE;Saint George's;yes;TGPY;GND;;http://www.psiagrenada.com/;https://en.wikipedia.org/wiki/Point_Salines_International_Airport
6369;TIST;medium_airport;Cyril E. King Airport;18.337091;-64.977251;23;NA;VI;VI-U-A;Charlotte Amalie;yes;TIST;STT;STT;http://www.viport.com/airports.html;https://en.wikipedia.org/wiki/Cyril_E._King_Airport
6370;TISX;medium_airport;Henry E Rohlsen Airport;17.701567;-64.801634;74;NA;VI;VI-U-A;Christiansted;yes;TISX;STX;STX;https://www.viport.com/herastx;https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport
6378;TJAB;medium_airport;Antonio Nery Juarbe Pol Airport;18.45085;-66.675768;23;NA;PR;PR-U-A;Arecibo;no;TJAB;ARE;ABO;;https://en.wikipedia.org/wiki/Antonio_(Nery)_Juarbe_Pol_Airport
6379;TJBQ;medium_airport;Rafael Hernández International Airport;18.4949;-67.129402;237;NA;PR;PR-U-A;Aguadilla;yes;TJBQ;BQN;BQN;;https://en.wikipedia.org/wiki/Rafael_Hern%C3%A1ndez_Airport
42320;TJCP;medium_airport;Benjamin Rivera Noriega Airport;18.312954;-65.303893;49;NA;PR;PR-U-A;Culebra;yes;TJCP;CPX;CPX;;https://en.wikipedia.org/wiki/Benjam%C3%ADn_Rivera_Noriega_Airport
6381;TJIG;medium_airport;Fernando Luis Ribas Dominicci Airport;18.45680046081543;-66.09809875488281;10;NA;PR;PR-U-A;San Juan;yes;TJIG;SIG;SIG;;https://en.wikipedia.org/wiki/Fernando_Luis_Ribas_Dominicci_Airport
6382;TJMZ;medium_airport;Eugenio Maria De Hostos Airport;18.255699157714844;-67.14849853515625;28;NA;PR;PR-U-A;Mayaguez;yes;TJMZ;MAZ;MAZ;;https://en.wikipedia.org/wiki/Eugenio_Mar%C3%ADa_de_Hostos_Airport
6383;TJPS;medium_airport;Mercedita Airport;18.00830078125;-66.56300354003906;29;NA;PR;PR-U-A;Ponce;yes;TJPS;PSE;PSE;;https://en.wikipedia.org/wiki/Mercedita_Airport
42321;TJRV;medium_airport;José Aponte de la Torre Airport;18.2453;-65.643402;38;NA;PR;PR-U-A;Ceiba;yes;TJRV;NRR;RVR;;https://en.wikipedia.org/wiki/Jos%C3%A9_Aponte_de_la_Torre_Airport
6384;TJSJ;large_airport;Luis Munoz Marin International Airport;18.4394;-66.001801;9;NA;PR;PR-U-A;San Juan;yes;TJSJ;SJU;SJU;https://aeropuertosju.com/;https://en.wikipedia.org/wiki/Luis_Mu%C3%B1oz_Mar%C3%ADn_International_Airport
6385;TJVQ;medium_airport;Antonio Rivera Rodriguez Airport;18.1348;-65.493599;49;NA;PR;PR-U-A;Vieques;yes;TJVQ;VQS;VQS;https://vieques.com/airport-vieques/;https://en.wikipedia.org/wiki/Antonio_Rivera_Rodr%C3%ADguez_Airport
6386;TKPK;medium_airport;Robert L. Bradshaw International Airport;17.311199188232422;-62.71870040893555;170;NA;KN;KN-U-A;Basseterre;yes;TKPK;SKB;;;https://en.wikipedia.org/wiki/Robert_L._Bradshaw_International_Airport
6387;TKPN;medium_airport;Vance W. Amory International Airport;17.205699920654297;-62.589900970458984;14;NA;KN;KN-U-A;Charlestown;yes;TKPN;NEV;;;https://en.wikipedia.org/wiki/Vance_W._Amory_International_Airport
6388;TLPC;medium_airport;George F. L. Charles Airport;14.0202;-60.992901;22;NA;LC;LC-02;Castries;yes;TLPC;SLU;;http://www.slaspa.com/contentPages/view/george-f-l-charles-airport;https://en.wikipedia.org/wiki/George_F._L._Charles_Airport
6389;TLPL;large_airport;Hewanorra International Airport;13.7332;-60.952599;14;NA;LC;LC-11;Vieux Fort;yes;TLPL;UVF;;http://www.slaspa.com/contentPages/view/hewanorra-international-airport;https://en.wikipedia.org/wiki/Hewanorra_International_Airport
6402;TNCA;large_airport;Queen Beatrix International Airport;12.5014;-70.015198;60;NA;AW;AW-U-A;Oranjestad;yes;TNCA;AUA;;;https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport
6403;TNCB;large_airport;Flamingo International Airport;12.131;-68.268501;20;NA;BQ;BQ-U-A;Kralendijk, Bonaire;yes;TNCB;BON;;;https://en.wikipedia.org/wiki/Flamingo_International_Airport
6404;TNCC;large_airport;Hato International Airport;12.1889;-68.959801;29;NA;CW;CW-U-A;Willemstad;yes;TNCC;CUR;;;https://en.wikipedia.org/wiki/Hato_International_Airport
6405;TNCE;medium_airport;F. D. Roosevelt Airport;17.49650001525879;-62.979400634765625;129;NA;BQ;BQ-U-A;Sint Eustatius;yes;TNCE;EUX;;;https://en.wikipedia.org/wiki/F.D._Roosevelt_Airport
6406;TNCM;large_airport;Princess Juliana International Airport;18.041;-63.108898;13;NA;SX;SX-U-A;Saint Martin;yes;TNCM;SXM;;https://www.sxmairport.com/;https://en.wikipedia.org/wiki/Princess_Juliana_International_Airport
32245;TNCS;medium_airport;Juancho E. Yrausquin Airport;17.645351;-63.220571;60;NA;BQ;BQ-U-A;Saba;yes;TNCS;SAB;;;https://en.wikipedia.org/wiki/Juancho_E._Yrausquin_Airport
6407;TQPF;medium_airport;Clayton J Lloyd International Airport;18.204773;-63.05383;127;NA;AI;AI-U-A;The Valley;yes;TQPF;AXA;;http://www.news.ai/ref/airport.html;https://en.wikipedia.org/wiki/Clayton_J._Lloyd_International_Airport
43074;TRPG;medium_airport;John A. Osborne Airport;16.791401;-62.193298;550;NA;MS;MS-SP;Gerald's Park;yes;TRPG;MNI;;;https://en.wikipedia.org/wiki/John_A._Osborne_Airport
6409;TTCP;medium_airport;A.N.R. Robinson International Airport;11.1497;-60.832199;38;NA;TT;TT-TOB;Scarborough;yes;TTCP;TAB;;https://tntairports.com/anr-robinson-international-airport/#;https://en.wikipedia.org/wiki/A.N.R._Robinson_International_Airport
6410;TTPP;medium_airport;Piarco International Airport;10.5954;-61.3372;58;NA;TT;TT-TUP;Port of Spain;yes;TTPP;POS;;https://tntairports.com/piarco-international-airport/;https://en.wikipedia.org/wiki/Piarco_International_Airport
6411;TUPJ;medium_airport;Terrance B. Lettsome International Airport;18.445492;-64.541707;15;NA;VG;VG-U-A;Road Town;yes;TUPJ;EIS;;http://www.bareboatsbvi.com/beef_island.html;https://en.wikipedia.org/wiki/Terrance_B._Lettsome_International_Airport
