@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
BIRK;1.1192862881380392;-0.3829087579762532;8.458;3.950427970847648;833.386;31.066;24;;;;;;;;8.458;8.458
BISI;1.1543321057884437;-0.3299894480593439;2.7432000000000003;0.7295490235970313;794.945;25.0;6;;;;;;;;1.524;3.9624
BIVM;1.1069653755625757;-0.3538876856044821;92.506;1.9265967744586776;1205.387;39.162;12;;388.864;0.0523598775598298;309.119;0.0523598775598298;;;90.8304;99.3648
BIVM;1.1069868394966345;-0.3539305354503024;92.506;0.3239681553815275;1176.941;42.272;3;;368.699;0.0523598775598298;363.129;0.0523598775598298;;;88.69680000000001;91.1352
BKPR;0.7430583356822473;0.367143947038123;545.8968;3.066451342369532;2490.626;56.874;17;;940.513;0.0523598775598298;940.513;0.0610865238198015;;;545.2872;546.5064
CBBC;0.9108021109980828;-2.2367578790637985;37.1856;5.789935363812516;1121.142;21.572;31;;;;;;;;31.3944;42.9768
CYAG;0.8491793786782194;-1.6308461491015065;341.68080000000003;5.337265721817715;1356.485;29.343;30;;373.442;0.0523598775598298;373.442;0.0523598775598298;;;341.07120000000003;342.29040000000003
CYAM;0.8113177831222201;-1.4749201790808877;188.214;0.5730324341342351;1852.0;61.231;4;;609.572;0.0523598775598298;609.572;0.0523598775598298;;;186.8424;192.974
CYAM;0.8112900637504542;-1.474970987201059;188.214;1.8816979351050285;1852.0;59.299;12;;;;578.687;0.0523598775598298;;;186.8424;186.5376
CYAQ;0.9341722975344432;-1.5471234098428848;199.0344;3.6009832094681737;1392.754;27.774;21;;;;391.577;0.0523598775598298;;;193.2432;204.8256
CYAV;0.87359990528546;-1.6935121214631716;230.936;0.7861461067950979;843.662;22.392;4;;;;;;;;230.7336;231.3432
CYAV;0.8736904189528604;-1.6935090941980258;230.936;2.316886184778929;910.985;20.261;13;;287.102;0.0523598775598298;276.072;0.0523598775598298;;;230.7336;231.3432
CYAV;0.8736693061191404;-1.693631924701076;230.936;3.2731384683784563;910.643;21.051;18;;271.706;0.0523598775598298;272.528;0.0523598775598298;;;230.4288;231.0384
CYAX;0.8778089897764382;-1.6756889340730188;259.08000000000004;0.1035213823846431;1097.158;21.0;36;;;;;;;;259.08000000000004;259.08000000000004
CYAZ;0.856538535410922;-2.195122832614137;23.571;1.5718264201194236;1522.546;45.72;7;;;;;;223.881;110.098;22.631;24.191
CYAZ;0.8566579095261901;-2.19528043765521;23.571;3.0462730672884497;1472.884;30.48;16;;;;;;61.701;221.489;24.433;23.262
CYAZ;0.8565862265403061;-2.1951963374206698;23.571;5.334691884769799;1516.221;30.48;29;;610.237;0.0523598775598298;488.815;0.0523598775598298;;146.36;23.1648;23.503
CYBC;0.857524079914235;-1.1903867556474257;20.7264;1.3930638640107078;1828.317;48.664;10;;;;577.687;0.0436332312998582;;;21.336;20.1168
CYBD;0.914335836431931;-2.2095136942989093;35.6616;4.362178543062366;1273.937;28.8;23;;;;;;60.436;;35.6616;35.6616
CYBF;0.9477974366876076;-1.932798027058753;560.069;1.5701285638230835;1344.665;21.935;8;;;;;;;156.063;559.6128;560.647
CYBG;0.8435261248660779;-1.2390427867854703;157.8864;2.8390743852757656;1852.0;45.892;18;;;;;;;;158.496;159.1056
CYBG;0.8435527090134144;-1.2391171966506545;157.8864;4.732037897103642;3052.677;45.367;29;;1192.359;0.0523598775598298;1218.929;0.0523598775598298;;;155.7528;158.1912
CYBL;0.871827340113863;-2.186427575244623;99.822;2.3575945933182947;1985.454;43.601;12;;687.927;0.0523598775598298;687.927;0.0523598775598298;;;108.8136;90.8304
CYBR;0.8710511216326758;-1.7445028528222803;409.3464;4.717057038002074;1979.325;45.895;26;;815.364;0.0523598775598298;799.874;0.0523598775598298;;;409.3464;409.3464
CYBU;0.9308276630398488;-1.815296563965461;368.427;3.9239085655282193;891.388;21.414;21;;;;;;;;371.856;371.856
CYBU;0.9308311330815328;-1.8152915705384167;368.427;2.3470393656010087;1069.47;40.215;12;;;;;;;;365.1504;364.8456
CYBW;0.8919470865249167;-1.9961556202749176;1199.311;1.5671926756751338;1012.885;30.0;8;;360.673;0.0523598775598298;314.607;0.0523598775598298;;;1199.388;1199.0832
CYBW;0.8919560746935957;-1.9962855274003564;1199.311;6.282757003381147;1523.667;30.0;35;;454.342;0.0523598775598298;584.801;0.0523598775598298;;;1200.912;1197.864
CYBX;0.8978331315651759;-0.9980873288577612;37.033;3.621009640904332;1369.877;41.535;23;;380.139;0.0523598775598298;380.139;0.0523598775598298;;;37.1856;36.8808
CYCB;1.206163755618992;-1.8350026790671112;26.2128;5.367534967035054;1601.562;19.178;31;;;;;;;;21.9456;30.48
CYCD;0.8561632208518498;-2.1619421184813525;25.45;0.0152347469118679;2009.535;39.79;34;;444.633;0.0523598775598298;636.575;0.0523598775598298;303.803;63.393;29.0;22.671
CYCE;0.7554353540918872;-1.4225553190171354;248.1072;4.743820091285079;1527.168;26.8;28;;;;;;;;251.1552;243.2304
CYCE;0.7554736240288408;-1.4225183052391723;248.1072;2.65137679059439;1271.819;42.189;16;;;;;;;;247.4976;250.5456
CYCG;0.8603815626884337;-2.053076701635956;493.318;6.092015903550144;1606.37;41.742;33;;498.385;0.0523598775598298;498.385;0.0523598775598298;;;494.0808;492.5568
CYCH;0.8204061499863228;-1.1424369433357529;29.718;4.378138531874303;3049.631;45.191;27;;1220.016;0.0523598775598298;1220.016;0.0523598775598298;;;25.908;33.528
CYCL;0.8376001070522209;-1.1576844352321352;37.4904;4.951239906513992;1825.832;39.224;30;;608.116;0.0523598775598298;;;;;34.7472;40.2336
CYCN;0.8570740863130524;-1.4139825410503322;259.232;5.223631173944719;1372.254;28.188;31;;381.327;0.0523598775598298;381.327;0.0523598775598298;;;262.4328;256.03200000000004
CYCP;0.9097500739422308;-2.082052708328656;681.5328000000001;3.657163787293544;1604.235;17.703;19;;;;;;;;672.6936000000001;690.3720000000001
